# gene name,C1,C2,C3,C4,E1,E2,E3,E4
leuC,7.07E-04,6.69E-04,4.78E-04,5.34E-04,4.44E-04,3.24E-04,3.52E-04,3.20E-04
menG,6.84E-05,9.19E-05,7.81E-05,6.67E-05,1.76E-04,1.73E-04,1.24E-04,1.09E-04
purD,9.37E-04,8.41E-04,9.00E-04,7.88E-04,7.53E-04,6.98E-04,7.54E-04,6.84E-04
yeeD,3.14E-05,4.45E-05,1.53E-05,4.31E-05,1.00E-04,7.63E-05,7.84E-05,5.50E-05
himD,2.49E-04,1.90E-04,8.01E-06,7.20E-05,7.68E-04,4.33E-04,3.61E-04,5.59E-04
rstB,2.04E-04,1.93E-04,1.92E-04,2.02E-04,2.44E-04,2.96E-04,2.72E-04,3.60E-04
rtcR,1.24E-04,1.02E-04,1.53E-04,1.30E-04,5.11E-05,6.85E-05,9.18E-05,8.54E-05
gcvR,7.97E-05,5.71E-05,2.06E-05,6.09E-05,2.36E-04,1.11E-04,1.42E-04,1.80E-04
fhuA,3.43E-04,3.63E-04,4.91E-04,4.26E-04,2.67E-04,2.77E-04,2.89E-04,2.77E-04
ycjC,9.35E-05,1.10E-04,6.08E-05,7.98E-05,1.33E-04,1.55E-04,1.89E-04,1.29E-04
hslV,1.11E-05,2.40E-05,5.58E-05,2.27E-05,7.27E-05,5.78E-05,6.81E-05,8.86E-05
ydiF,7.83E-04,8.06E-04,7.17E-04,7.18E-04,9.12E-04,8.25E-04,8.82E-04,8.50E-04
yfhG,3.49E-04,3.26E-04,2.69E-04,3.24E-04,4.43E-04,3.96E-04,3.66E-04,4.17E-04
yffG,5.30E-04,5.98E-04,7.39E-04,6.16E-04,3.97E-04,4.07E-04,5.11E-04,3.76E-04
yhjX,1.95E-04,2.01E-04,2.85E-04,2.57E-04,8.91E-05,1.43E-04,1.71E-04,9.39E-05
kup,9.32E-04,8.58E-04,1.03E-03,9.10E-04,7.52E-04,8.10E-04,6.86E-04,5.85E-04
yabF,1.52E-04,1.42E-04,1.30E-04,1.49E-04,1.31E-04,1.05E-04,1.08E-04,1.16E-04
caiC,6.23E-05,8.66E-05,1.72E-04,1.44E-04,1.36E-05,1.79E-05,3.10E-05,2.45E-05
dksA,2.99E-04,3.02E-04,1.25E-04,2.34E-04,4.53E-04,5.56E-04,4.45E-04,3.59E-04
rnhA,1.72E-04,1.69E-04,1.36E-04,1.17E-04,1.09E-04,9.44E-05,9.44E-05,9.18E-05
moeA,2.89E-04,2.86E-04,3.19E-04,3.11E-04,2.70E-04,2.64E-04,2.62E-04,2.78E-04
sohB,2.74E-04,2.15E-04,1.59E-04,1.72E-04,3.03E-04,2.96E-04,2.97E-04,3.08E-04
uhpT,3.05E-04,2.62E-04,3.36E-04,3.07E-04,2.23E-04,2.41E-04,2.40E-04,1.68E-04
serS,3.38E-04,3.13E-04,2.03E-04,2.35E-04,4.86E-04,4.21E-04,3.59E-04,5.12E-04
yjjI,3.79E-04,4.33E-04,3.89E-04,4.08E-04,3.30E-04,3.00E-04,3.72E-04,2.94E-04
murE,9.80E-05,1.37E-04,1.60E-04,1.39E-04,7.09E-05,9.03E-05,8.78E-05,4.67E-05
thdF,1.57E-04,1.70E-04,2.33E-04,2.41E-04,1.21E-04,1.10E-04,1.36E-04,1.12E-04
manZ,2.43E-04,2.55E-04,2.24E-04,1.84E-04,1.68E-04,1.68E-04,1.63E-04,1.15E-04
